40,40,2,

5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,5,5,5,5,5,5,5,
5,12,5,20,5,19,5,5,5,5,5,19,5,5,5,12,5,20,5,19,5,5,5,5,5,19,5,20,5,12,5,5,5,12,5,5,5,5,19,5,
5,5,5,5,13,5,20,5,12,5,5,5,12,5,5,5,5,5,13,5,20,5,12,5,5,5,12,5,5,13,5,20,5,5,5,12,5,5,5,12,
5,12,13,13,5,12,5,5,13,5,20,5,5,5,5,12,13,13,5,12,5,5,13,5,20,5,5,6,5,20,12,5,19,5,5,13,5,20,5,5,
6,5,5,5,20,6,6,5,20,12,5,19,5,5,6,5,5,5,20,6,6,5,20,12,5,19,5,13,20,5,6,5,5,5,5,20,12,5,19,5,
5,5,20,5,13,5,13,20,5,6,5,5,5,13,5,5,20,5,13,5,13,20,5,6,5,5,5,6,5,19,5,20,5,12,12,5,6,5,5,5,
5,5,5,5,5,5,5,5,5,5,20,5,12,5,5,6,5,12,12,20,6,5,19,5,20,5,12,5,19,6,13,5,13,5,5,19,5,20,5,12,
20,5,19,5,5,5,5,5,19,5,5,13,5,5,5,5,12,5,5,13,5,19,6,13,5,13,5,12,5,6,5,12,5,19,5,6,13,5,13,5,
5,13,5,20,5,12,5,5,5,12,12,5,19,19,5,5,5,5,19,20,12,5,6,5,12,5,19,5,13,20,5,6,5,5,5,6,5,12,5,19,
13,5,12,5,5,13,5,20,5,5,20,5,5,5,5,5,19,5,20,5,5,5,5,6,5,12,12,20,6,5,19,5,20,5,12,5,5,5,5,5,
5,5,5,6,5,20,12,5,19,5,6,5,12,5,5,5,5,5,5,5,5,12,5,5,12,5,5,13,5,19,6,13,5,13,5,5,5,5,19,5,
5,19,5,13,20,5,6,5,5,5,5,5,5,5,19,5,12,5,19,5,6,5,5,5,5,5,19,20,12,5,6,5,12,5,19,12,5,5,5,12,
5,5,12,5,5,5,5,5,5,5,19,5,5,5,13,5,13,20,5,5,5,5,20,5,13,5,13,20,5,6,5,5,5,12,5,13,5,20,5,5,
20,5,5,5,19,5,5,5,19,5,5,5,20,5,5,12,5,12,5,19,5,6,5,12,12,20,6,5,19,5,20,5,12,5,5,20,12,5,19,5,
5,19,5,5,5,12,5,5,5,12,12,5,5,19,20,13,5,5,5,12,5,5,12,5,5,13,5,19,6,13,5,13,5,5,20,5,6,5,5,5,
5,5,5,20,5,5,5,20,5,5,5,5,12,5,5,26,27,6,5,5,5,5,5,5,19,20,12,5,6,5,12,5,19,5,5,5,5,5,5,12,
20,5,12,5,19,5,5,5,19,5,6,5,5,13,12,33,34,5,12,5,19,5,6,5,12,12,20,6,5,19,5,20,5,12,5,5,19,5,13,5,
5,13,5,5,5,5,19,5,5,5,5,5,19,5,13,6,5,19,5,5,5,5,5,12,5,5,13,5,19,6,13,5,13,5,5,5,5,5,5,5,
12,5,19,20,5,12,5,12,5,12,5,5,5,6,20,5,12,5,19,5,5,5,5,5,5,19,20,12,5,6,5,12,5,19,5,5,5,5,19,5,
19,6,13,5,13,5,5,5,5,5,5,5,5,5,20,5,5,5,5,5,12,5,13,5,6,6,5,5,5,5,5,13,5,20,5,12,5,5,5,12,
5,6,5,12,5,19,19,5,5,5,19,5,12,5,5,6,6,5,5,5,5,13,12,5,5,5,5,5,12,13,13,5,12,5,5,13,5,20,5,5,
5,13,20,5,6,5,5,5,5,5,5,12,5,5,5,5,5,5,12,5,13,5,5,5,19,5,6,6,5,5,5,20,6,6,5,20,12,5,19,5,
20,6,5,19,5,20,5,12,5,20,5,5,5,5,5,5,19,5,13,5,20,5,5,12,5,5,5,5,5,20,5,13,5,13,20,5,6,5,5,5,
